Date,Job title,Company,,,,,,
9/27/2022,Data Analyst,Barclays,,,Month,Jobs Listed,,
8/23/2022,Data Analyst,Experian,,,jan,1,,
8/30/2022,Data Analyst,Experian,,,feb,5,,
10/3/2022,Associate - Data Analysis,Newfold Digital,,,mar,9,,
9/8/2022,Data Analyst,Experian,,,apr,10,,
9/23/2022,Data Analyst,Barclays,,,may,17,,
9/29/2022,Data Analyst - I,BookMyShow,,,jun,18,,
7/15/2022,Data Analyst,ESSENWARE PRIVATE LIMITED,,,jul,92,,
9/16/2022,Data Analyst,Dynatrace,,,aug,193,,
9/15/2022,Data Analyst,Barclays,,,sep,561,,
9/27/2022,Analyst - Data and Analytics (Spend Analysis),GEP Worldwide,,,,,,
9/22/2022,Data Analyst - Engineering,Barclays,,,,,,
10/3/2022,Data Analyst,MASTER MIND CONSULTANCY,,,,,,
8/25/2022,Data Analyst,HEXANIKA,,,,,,
7/22/2022,Data Analyst - Mumbai,The Good Glamm Group,,,,,,
8/18/2022,Data Analyst - Fatak Pay,Incluzon,,,,,,
8/21/2022,Data Analyst,WayCool Foods,,,,,,
9/27/2022,Data Analyst,EOSGlobe,,,,,,
8/21/2022,IARC - Data Analyst,International Asset Reconstruction Company,,,,,,
9/8/2022,Data Analyst,DBS Bank,,,,,,
7/9/2022,Data Analyst,Zycus,,,,,,
9/22/2022,Global Data Analyst,LRQA,,,,,,
10/1/2022,Data Analyst,ACURA SOLUTIONS LTD,,,,,,
9/30/2022,"Analyst, Data","GXO Logistics, Inc.",,,,,,
8/18/2022,Data Analyst,Brainwonders,,,,,,
9/24/2022,Data Analyst,Priceline,,,,,,
9/21/2022,Data Analyst,Cotiviti,,,,,,
8/29/2022,Data Analyst,Control Risks,,,,,,
8/7/2022,Data Analyst,Parity Cube Pvt. Ltd.,,,,,,
8/25/2022,Data Analysts,KUDOSiNDiA,,,,,,
8/26/2022,Data Analyst,_VOIS,,,,,,
9/29/2022,Data Analyst,Exponentia.ai,,,,,,
8/22/2022,"Data Analyst, Marketing",Global Industrial Company,,,,,,
2/4/2022,"Data Analyst (SQL, PowerBI)",TMF Group,,,,,,
7/22/2022,Junior Data Analyst – SA Level 1,Apex Group Ltd,,,,,,
8/15/2022,E- commerce Data Analyst,Qrata,,,,,,
9/30/2022,Data Analyst - Python/Tableau/SQL (1-10 yrs),Zeno Health,,,,,,
8/28/2022,Data Analyst,Exponentia.ai,,,,,,
9/16/2022,GOQii Technologies - Data Analyst - R/Python,GOQii,,,,,,
9/30/2022,Analyst - Data & Analytics,General Mills India,,,,,,
7/12/2022,Senior Data Analyst,Poshmark,,,,,,
7/13/2022,Data Analyst (1-4 yrs),Axis My India,,,,,,
8/25/2022,Business Data Analyst,Data Sutram,,,,,,
8/7/2022,Data Analyst,Advanced Risk Analytics Private Limited,,,,,,
9/29/2022,Expertrons - Data Analyst,Expertrons,,,,,,
9/13/2022,Clinical Data Analyst,Omasy Research,,,,,,
7/12/2022,Satori Group - Data Analyst - SSRS/SQL Server,Satori Group India,,,,,,
9/26/2022,Sciative Solutions - Data Analyst,Sciative - We Price Right,,,,,,
7/8/2022,Data Anlayst - SQL - FinTech Startup (3-5 yrs),Unnati,,,,,,
8/25/2022,"Associate Analyst, Analytics",Evolent Health,,,,,,
8/29/2022,"Analyst, Analytics",Evolent Health,,,,,,
10/3/2022,"Data Analyst , Senior Data Analyst , Data Analyst",AppSoft Solutions,,,,,,
9/28/2022,Data Analyst,eTeam,,,,,,
10/2/2022,"Data Analyst, Trilogy (Remote) - $60,000/year USD",Crossover for Work,,,,,,
9/7/2022,Data Standard Analyst,Medpace,,,,,,
9/15/2022,Analyst-Data Research & Analysis,Black & Veatch,,,,,,
9/28/2022,Associate Data Analyst_Energy Domain( Pune),Energy Exemplar,,,,,,
8/30/2022,Data Analyst Steward (7+ years) (Pune),Fractal,,,,,,
7/8/2022,EDS MI,WTW,,,,,,
8/5/2022,Business Data Analyst,Phoenix Group,,,,,,
8/30/2022,"Data Analyst Navi Mumbai, Maharashtra",Medscape,,,,,,
6/7/2022,Data Analyst-R-8615-2021,SKILLETY,,,,,,
8/12/2022,Data Analyst - Risk Global Markets,BNP Paribas,,,,,,
6/2/2022,Credit Data Analyst - 7819,ION,,,,,,
10/3/2022,Data Analyst (OpEx Engineering),Fynd (Shopsense Retail Technologies Ltd.),,,,,,
8/28/2022,Credit Data Analyst - 7819,ION,,,,,,
8/7/2022,Business Data Analyst – Digital Output (Radiology Company),Carestream,,,,,,
9/9/2022,Data Analytics,Network18 Media & Investments Limited,,,,,,
9/17/2022,Data Analyst (French),Numerator,,,,,,
8/12/2022,Business Data Analyst,Talent Integrators,,,,,,
6/14/2022,Data Analyst,P.S International HR Consultants,,,,,,
9/9/2022,Business Data Analyst - Supply chain,Mondelēz International,,,,,,
9/27/2022,Xpressbees - Data Analyst - R/Python,Xpressbees (BusyBees Logistics Solutions Pvt. Ltd.),,,,,,
9/8/2022,Reporting Data Analyst,Qween Network LLP,,,,,,
9/7/2022,Data Analyst for a leading Recruitment ATS Platform,Gratitude India,,,,,,
9/9/2022,Data Analyst,MASTER MIND CONSULTANCY,,,,,,
6/1/2022,NMIMS - Data Analyst,NMIMS Global,,,,,,
5/11/2022,Senior Data Analyst,Kennect Inc.,,,,,,
9/14/2022,"Data Analyst , Senior Data Analyst , Data Analyst - Tech Lead",AppSoft Solutions,,,,,,
9/4/2022,Data Analytics,Array Management Consultants,,,,,,
6/24/2022,Analyst - Core Analytics(MATLAB & R),Randstad India,,,,,,
8/23/2022,SQL Developer,Opportunity One Step Solutions Private Limited,,,,,,
9/28/2022,Wellthy - Data/Product Analyst,Wellthy Therapeutics,,,,,,
7/18/2022,Data Analysis/Data Science Role - Business Intelligence,Pioneer Financial & Management Services Ltd.,,,,,,
9/9/2022,HR Data Analyst,Medline India,,,,,,
8/30/2022,Data Analyst / BI Developer,Owens Career Center,,,,,,
9/23/2022,Lead I - Data Analysis,UST,,,,,,
9/28/2022,"Analyst, Data Quality",Evolent Health,,,,,,
10/2/2022,"Data Analyst , Senior Data Analyst , Data Analyst - Tech Lead",AppSoft Solutions,,,,,,
7/12/2022,Apexon - Data Analyst - Python/Flask,Apexon,,,,,,
9/8/2022,Data Engineer,A Brand View,,,,,,
9/8/2022,Data Analyst (French),Numerator,,,,,,
9/21/2022,Data Modelling,Zensar Technologies,,,,,,
9/26/2022,MDP Associate,Morningstar,,,,,,
7/28/2022,Data Analyst (French),Numerator,,,,,,
9/21/2022,Data Analyst/Senior Data Analyst (2-5 yrs),Axis My India,,,,,,
8/12/2022,Senior IT Data & Reporting Analyst,ZS,,,,,,
9/23/2022,Snowflake Data Analyst,Peterson Technology Partners,,,,,,
9/8/2022,DATA ANALYST PRINCIPAL,Cummins Inc.,,,,,,
8/12/2022,Corporate CRM - Data analyst,Barclays,,,,,,
9/14/2022,Associate Strategic Value Advisory Data Analyst,Coupa Software,,,,,,
9/16/2022,Secret Technologies - Data Analyst,SECRET TECHNOLOGIES INDIA (VMS GROUP),,,,,,
5/11/2022,Data Analyst/Senior Data Analyst (2-3 yrs),Axis My India,,,,,,
9/30/2022,French Data Analyst,Numerator,,,,,,
8/26/2022,POWER BI,Russell Tobin,,,,,,
9/26/2022,Data Analyst - Business Intelligence,ProPMO Services Private Limited,,,,,,
9/29/2022,Senior Data Analyst,TMF Group,,,,,,
8/7/2022,Digital Analytics,_VOIS,,,,,,
8/27/2022,Analyst - Core Analytics - Power BI,Randstad India,,,,,,
9/21/2022,French Data Analyst,Numerator,,,,,,
2/4/2022,Data Analyst For Associate & Senior Associate - COSI Team,Apex Group Ltd,,,,,,
7/26/2022,Patient Cloud - Data Analyst,Dassault Systèmes,,,,,,
8/7/2022,Corporate CRM - Data analyst,Barclays,,,,,,
9/20/2022,Associate Data Center Operations Analyst,Ensono,,,,,,
